TLD,Dose Medida (Dm),Dose Calculada (Dc),Ponto Medido X (rm_x),Ponto Medido Y (rm_y),Ponto Calculado X (rc_x),Ponto Calculado Y (rc_y),,,
,2585,2642,-9,0,-7,-3,,,
,2585,2661,-9,0,-6,-3,,,
262,2522,2476,-18,0,-21,3,,,
,2522,2509,-18,0,-20,3,,,
,2522,2531,-18,0,-19,3,,,
,2522,2546,-18,0,-18,3,,,
,2522,2557,-18,0,-17,3,,,
,2522,2564,-18,0,-16,3,,,
,2522,2570,-18,0,-15,3,,,
,2522,2476,-18,0,-21,2,,,
,2522,2509,-18,0,-20,2,,,
,2522,2531,-18,0,-19,2,,,
,2522,2546,-18,0,-18,2,,,
,2522,2557,-18,0,-17,2,,,
,2522,2565,-18,0,-16,2,,,
,2522,2570,-18,0,-15,2,,,
,2522,2476,-18,0,-21,1,,,
,2522,2509,-18,0,-20,1,,,
,2522,2531,-18,0,-19,1,,,
,2522,2547,-18,0,-18,1,,,
